insert, 800, 159923, 159932, 0.000728
heap, 800, 12990, 7027, 0.000163
quick, 800, 7752, 4341, 0.000094
mquick, 800, 8045, 5875, 0.000091
select, 800, 319600, 800, 0.001340
insert, 800, 162590, 162598, 0.000797
heap, 800, 13016, 7017, 0.000166
quick, 800, 8247, 4900, 0.000091
mquick, 800, 8094, 5900, 0.000078
select, 800, 319600, 800, 0.001342
insert, 800, 163710, 163715, 0.000756
heap, 800, 12995, 7036, 0.000163
quick, 800, 8258, 4768, 0.000091
mquick, 800, 7974, 5201, 0.000085
select, 800, 319600, 800, 0.001336
insert, 800, 161541, 161549, 0.000750
heap, 800, 13038, 7060, 0.000162
quick, 800, 8473, 4273, 0.000092
mquick, 800, 7932, 5810, 0.000076
select, 900, 404550, 900, 0.001689
insert, 900, 198162, 198167, 0.000893
heap, 900, 14959, 8090, 0.000183
quick, 900, 10089, 5834, 0.000102
mquick, 900, 9635, 7148, 0.000091
select, 900, 404550, 900, 0.001741
insert, 900, 198466, 198470, 0.001112
heap, 900, 14952, 8067, 0.000219
quick, 900, 10179, 5483, 0.000117
mquick, 900, 9348, 6719, 0.000087
select, 900, 404550, 900, 0.001669
insert, 900, 205972, 205978, 0.000872
heap, 900, 14946, 8065, 0.000177
quick, 900, 10159, 5980, 0.000097
mquick, 900, 9142, 6399, 0.000087
select, 900, 404550, 900, 0.001694
insert, 900, 205469, 205478, 0.000935
heap, 900, 14917, 8049, 0.000182
quick, 900, 10287, 5836, 0.000103
mquick, 900, 9019, 6368, 0.000088
select, 900, 404550, 900, 0.001683
insert, 900, 208470, 208478, 0.001080
heap, 900, 14905, 8009, 0.000234
quick, 900, 10494, 5446, 0.000133
mquick, 900, 9086, 6169, 0.000123
select, 900, 404550, 900, 0.001674
insert, 900, 212233, 212241, 0.001216
heap, 900, 14876, 8008, 0.000240
quick, 900, 9727, 4743, 0.000131
mquick, 900, 10259, 7531, 0.000126
select, 900, 404550, 900, 0.001669
insert, 900, 205351, 205356, 0.001166
heap, 900, 14956, 8081, 0.000240
quick, 900, 9224, 5335, 0.000140
mquick, 900, 9717, 6050, 0.000119
select, 900, 404550, 900, 0.001696
insert, 900, 198050, 198060, 0.001269
heap, 900, 14891, 8053, 0.000242
quick, 900, 9618, 6064, 0.000136
mquick, 900, 9639, 7075, 0.000124
select, 900, 404550, 900, 0.001711
insert, 900, 199830, 199840, 0.001230
heap, 900, 14950, 8047, 0.000242
quick, 900, 9944, 5622, 0.000138
mquick, 900, 9701, 5928, 0.000127
select, 900, 404550, 900, 0.001669
insert, 900, 207974, 207979, 0.001269
heap, 900, 14906, 8026, 0.000241
quick, 900, 9012, 5052, 0.000129
mquick, 900, 8961, 6279, 0.000118
select, 1000, 499500, 1000, 0.002070
insert, 1000, 256405, 256406, 0.001354
heap, 1000, 16824, 9037, 0.000271
quick, 1000, 10739, 5854, 0.000160
mquick, 1000, 11858, 7858, 0.000144
select, 1000, 499500, 1000, 0.002113
insert, 1000, 250262, 250269, 0.001467
heap, 1000, 16836, 9080, 0.000274
quick, 1000, 10191, 6249, 0.000147
mquick, 1000, 10166, 7429, 0.000134
select, 1000, 499500, 1000, 0.002064
insert, 1000, 251915, 251920, 0.001439
heap, 1000, 16779, 9037, 0.000265
quick, 1000, 10147, 6379, 0.000156
mquick, 1000, 10774, 7496, 0.000128
select, 1000, 499500, 1000, 0.002069
insert, 1000, 243161, 243168, 0.001418
heap, 1000, 16855, 9089, 0.000273
quick, 1000, 11371, 6126, 0.000151
mquick, 1000, 11002, 7318, 0.000137
select, 1000, 499500, 1000, 0.002055
insert, 1000, 251794, 251801, 0.001371
heap, 1000, 16843, 9072, 0.000272
quick, 1000, 12606, 5371, 0.000143
mquick, 1000, 10721, 7102, 0.000122
select, 1000, 499500, 1000, 0.002145
insert, 1000, 240012, 240017, 0.001395
heap, 1000, 16839, 9086, 0.000272
quick, 1000, 11544, 6592, 0.000156
mquick, 1000, 10535, 7633, 0.000138
select, 1000, 499500, 1000, 0.002054
insert, 1000, 242677, 242680, 0.001452
heap, 1000, 16816, 9071, 0.000272
quick, 1000, 9819, 5947, 0.000145
mquick, 1000, 10055, 7042, 0.000134
select, 1000, 499500, 1000, 0.002032
insert, 1000, 252505, 252510, 0.001539
heap, 1000, 16833, 9067, 0.000272
quick, 1000, 12107, 7392, 0.000173
mquick, 1000, 10542, 7460, 0.000136
select, 1000, 499500, 1000, 0.002067
insert, 1000, 253632, 253639, 0.001367
heap, 1000, 16867, 9092, 0.000278
quick, 1000, 11007, 6217, 0.000151
mquick, 1000, 10374, 7388, 0.000136
select, 1000, 499500, 1000, 0.002114
insert, 1000, 251267, 251278, 0.001444
heap, 1000, 16823, 9069, 0.000285
quick, 1000, 11448, 6638, 0.000163
mquick, 1000, 10648, 7851, 0.000138
select, 1100, 604450, 1100, 0.002493
insert, 1100, 296109, 296115, 0.001617
heap, 1100, 18799, 10136, 0.000324
quick, 1100, 11159, 6699, 0.000162
mquick, 1100, 12192, 8365, 0.000154
select, 1100, 604450, 1100, 0.002514
insert, 1100, 308343, 308350, 0.001612
heap, 1100, 18838, 10159, 0.000300
quick, 1100, 11775, 6115, 0.000155
mquick, 1100, 11954, 8775, 0.000174
select, 1100, 604450, 1100, 0.002504
insert, 1100, 298195, 298200, 0.001640
heap, 1100, 18888, 10167, 0.000305
quick, 1100, 11484, 6054, 0.000161
mquick, 1100, 11554, 8282, 0.000147
select, 1100, 604450, 1100, 0.002507
insert, 1100, 303488, 303494, 0.001592
heap, 1100, 18847, 10137, 0.000303
quick, 1100, 11448, 6166, 0.000162
mquick, 1100, 12563, 8630, 0.000159
select, 1100, 604450, 1100, 0.002482
insert, 1100, 300437, 300444, 0.001563
heap, 1100, 18870, 10161, 0.000304
quick, 1100, 12529, 5650, 0.000167
mquick, 1100, 11677, 8343, 0.000154
select, 1100, 604450, 1100, 0.002494
insert, 1100, 304005, 304009, 0.001739
heap, 1100, 18856, 10152, 0.000305
quick, 1100, 12112, 6059, 0.000162
mquick, 1100, 11561, 7881, 0.000150
select, 1100, 604450, 1100, 0.002533
insert, 1100, 299891, 299897, 0.001763
heap, 1100, 18854, 10172, 0.000303
quick, 1100, 11802, 6954, 0.000165
mquick, 1100, 12090, 8229, 0.000156
select, 1100, 604450, 1100, 0.002492
insert, 1100, 299412, 299420, 0.001547
heap, 1100, 18835, 10157, 0.000303
quick, 1100, 13298, 7387, 0.000175
mquick, 1100, 11392, 8142, 0.000151
select, 1100, 604450, 1100, 0.002491
insert, 1100, 307841, 307846, 0.001566
heap, 1100, 18848, 10141, 0.000301
quick, 1100, 12491, 6138, 0.000171
mquick, 1100, 11766, 7768, 0.000152
select, 1100, 604450, 1100, 0.002504
insert, 1100, 301015, 301021, 0.001606
heap, 1100, 18843, 10156, 0.000300
quick, 1100, 13048, 8067, 0.000177
mquick, 1100, 11802, 8774, 0.000154
select, 1200, 719400, 1200, 0.002914
insert, 1200, 363473, 363480, 0.002087
heap, 1200, 20892, 11245, 0.000333
quick, 1200, 13838, 7506, 0.000194
mquick, 1200, 13379, 9839, 0.000161
select, 1200, 719400, 1200, 0.002995
insert, 1200, 355925, 355932, 0.001809
heap, 1200, 20881, 11251, 0.000371
quick, 1200, 13341, 7450, 0.000184
mquick, 1200, 13073, 9067, 0.000169
select, 1200, 719400, 1200, 0.002970
insert, 1200, 355736, 355745, 0.001909
heap, 1200, 20903, 11240, 0.000333
quick, 1200, 13743, 8578, 0.000192
mquick, 1200, 12802, 9350, 0.000169
select, 1200, 719400, 1200, 0.002980
insert, 1200, 356243, 356246, 0.001946
heap, 1200, 20907, 11243, 0.000306
quick, 1200, 13012, 8269, 0.000167
mquick, 1200, 14068, 10735, 0.000176
select, 1200, 719400, 1200, 0.002963
insert, 1200, 358728, 358733, 0.001842
heap, 1200, 20915, 11226, 0.000330
quick, 1200, 12974, 6836, 0.000181
mquick, 1200, 13195, 9304, 0.000170
select, 1200, 719400, 1200, 0.002965
insert, 1200, 360822, 360828, 0.001832
heap, 1200, 20890, 11231, 0.000331
quick, 1200, 14024, 7406, 0.000188
mquick, 1200, 12593, 8736, 0.000165
select, 1200, 719400, 1200, 0.002953
insert, 1200, 362621, 362629, 0.001895
heap, 1200, 20890, 11226, 0.000334
quick, 1200, 13321, 7183, 0.000182
mquick, 1200, 13308, 10114, 0.000172
select, 1200, 719400, 1200, 0.002964
insert, 1200, 366022, 366027, 0.001985
heap, 1200, 20915, 11212, 0.000332
quick, 1200, 14422, 8645, 0.000192
mquick, 1200, 13393, 9701, 0.000172
select, 1200, 719400, 1200, 0.002968
insert, 1200, 358409, 358413, 0.001920
heap, 1200, 20901, 11226, 0.000332
quick, 1200, 14338, 8251, 0.000192
mquick, 1200, 13291, 9154, 0.000178
select, 1200, 719400, 1200, 0.002972
insert, 1200, 352772, 352776, 0.001780
heap, 1200, 20946, 11285, 0.000332
quick, 1200, 12731, 7492, 0.000183
mquick, 1200, 13060, 8722, 0.000185
select, 1300, 844350, 1300, 0.005848
insert, 1300, 405239, 405246, 0.002260
heap, 1300, 22967, 12375, 0.000282
quick, 1300, 14608, 9298, 0.000149
mquick, 1300, 14225, 10527, 0.000138
select, 1300, 844350, 1300, 0.003398
insert, 1300, 418544, 418547, 0.001810
heap, 1300, 22972, 12314, 0.000278
quick, 1300, 14062, 8035, 0.000149
mquick, 1300, 14812, 10443, 0.000138
select, 1300, 844350, 1300, 0.003463
insert, 1300, 416315, 416320, 0.001823
heap, 1300, 23018, 12363, 0.000297
quick, 1300, 14553, 7664, 0.000163
mquick, 1300, 14146, 10052, 0.000143
select, 1300, 844350, 1300, 0.003484
insert, 1300, 428302, 428311, 0.001853
heap, 1300, 22931, 12304, 0.000286
quick, 1300, 15366, 8982, 0.000154
mquick, 1300, 15625, 12060, 0.000152
select, 1300, 844350, 1300, 0.003679
insert, 1300, 429811, 429825, 0.001851
heap, 1300, 22976, 12326, 0.000280
quick, 1300, 14098, 8152, 0.000158
mquick, 1300, 14437, 9908, 0.000134
select, 1300, 844350, 1300, 0.003569
insert, 1300, 428250, 428258, 0.001895
heap, 1300, 22912, 12287, 0.000279
quick, 1300, 16021, 8800, 0.000153
mquick, 1300, 15929, 10319, 0.000141
select, 1300, 844350, 1300, 0.003476
insert, 1300, 425309, 425313, 0.001844
heap, 1300, 22953, 12314, 0.000278
quick, 1300, 15542, 8567, 0.000152
mquick, 1300, 14039, 9810, 0.000137
select, 1300, 844350, 1300, 0.003506
insert, 1300, 433127, 433136, 0.001867
heap, 1300, 22891, 12305, 0.000275
quick, 1300, 14068, 7631, 0.000152
mquick, 1300, 14063, 10287, 0.000138
select, 1300, 844350, 1300, 0.003504
insert, 1300, 422222, 422226, 0.002082
heap, 1300, 22900, 12309, 0.000370
quick, 1300, 16093, 8809, 0.000215
mquick, 1300, 14331, 9705, 0.000185
select, 1300, 844350, 1300, 0.003483
insert, 1300, 432232, 432239, 0.002138
heap, 1300, 22950, 12306, 0.000365
quick, 1300, 14684, 8686, 0.000203
mquick, 1300, 14445, 10239, 0.000185
select, 1400, 979300, 1400, 0.004017
insert, 1400, 488322, 488330, 0.002465
heap, 1400, 25002, 13435, 0.000393
quick, 1400, 16335, 8104, 0.000219
mquick, 1400, 16406, 12649, 0.000207
select, 1400, 979300, 1400, 0.003943
insert, 1400, 488840, 488848, 0.002495
heap, 1400, 25042, 13433, 0.000387
quick, 1400, 16533, 9113, 0.000213
